created_at,id,in_reply_to_screen_name,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,text,user_id,screen_name,location,followersCount,replyCount,retweetCount,likeCount,quoteCount
2020-11-07 17:58:51+00:00,1325135642930581504,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmPT16GVMAINDd0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmPT16GVMAINDd0?format=jpg&name=large')]",,1325135642930581504,The only winners here today are the CCP. #TrumpWon #ElectionFruad #stopthesteal #Biden #CCP #ccpvictory #ChinaJoe https://t.co/9rofX4GzrR,141642957,SkittyxKat,"New York, USA",436,0,1,0,0
2020-11-07 17:54:58+00:00,1325134662780424195,,,,,,1325134662780424195,"Hey, thanks for the map! See all those blue dots? That’s where you go to find all the voter fraud... #TrumpWon https://t.co/aR51W4o9LT",56471847,Karin_in_CA,"Orange County, California",2595,0,3,3,0
2020-11-07 17:52:08+00:00,1325133949857718273,,,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325133949857718273,"We haven't and we won't concede defeat, our lawyers are busy with papers, on Monday we going to court. Joe Biden must relax. @realDonaldTrump is the legitimate winner of these elections #TrumpWon #TrumpTrain",2184608584,Mtamerri,Southern Africa ,19363,12,3,5,3
2020-11-07 17:48:58+00:00,1325133156643581952,,,,,,1325133156643581952,Biden won as voted by the activist #MSM #MainstreamMedia #CNNElection #USAElections2020 #TrumpWon #AmericaDecides2020,72429145,SamaraRiviera,"Manhattan, NY",1543,0,0,0,0
2020-11-07 17:45:58+00:00,1325132398871404545,,,,,,1325132398871404545,#TrumpWon,79126750,MerafLeykun,"Addis Ababa, Ethiopia",19,0,0,0,0
2020-11-07 17:45:35+00:00,1325132304214183937,https://twitter.com/Annakhait,1.3251317116220334e+18,,,"[User(username='Annakhait', id=534881613, displayname='Anna Khait', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325131711622033408,@Annakhait Great Hash Tag  #TrumpWon,1027155220852367360,ROBINHOOD_PARTY,Sovereign Country 🏹,126,1,0,0,0
2020-11-07 17:45:32+00:00,1325132290012246016,,,,,,1325132290012246016,"#Election2020 yall can go to HECK, Trump is going to take this to court and win! #Trump2020 #TRUMP2020ToSaveAmerica #Trump2020NowMoreThanEver #TrumpWon",868513262819844096,UltimaWasTaken,16,192,0,0,2,0
2020-11-07 17:44:50+00:00,1325132113255886849,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmPQojsUcAc7pvR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmPQojsUcAc7pvR?format=jpg&name=large')]","[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325132113255886849,"I am NOT going to retweet the latest @realDonaldTrump's tweet[...] but I will share it as like I read it in my #Timeline.

#elections
#Election2020

#TrumpWon
#ButAllVotesMustBeCounted https://t.co/X1r3tfpbbg",1051431188,Juan_A_Llorente,"El Espino, La Chorrera, Panamá",1070,0,0,0,0
2020-11-07 17:44:07+00:00,1325131934872166403,,,,,,1325131934872166403,#TrumpWon,1226157668529606657,RunezYT,Follow my socials 👉🏼,137,0,0,0,0
2020-11-07 17:43:14+00:00,1325131711622033408,,,,,,1325131711622033408,There’s going to be a lot of people who believe in God once this is all said and done. #TrumpWon,534881613,Annakhait,United States,291906,197,406,3538,108
2020-11-07 17:40:13+00:00,1325130954323587072,,,,,,1325130954323587072,#TrumpWon,1122240345008431105,WemersonDesouz5,"New Jersey, USA",1,0,0,0,0
2020-11-07 17:40:05+00:00,1325130921020776448,,,,,,1325130921020776448,TRUMP WON!!!! He's got this 💯💪#trumpwon,946127468,I_C_Ur_Lies,Anywhere USA,269,0,0,1,0
2020-11-07 17:32:58+00:00,1325129128199139329,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmPN60lU8AE9dzc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmPN60lU8AE9dzc?format=jpg&name=large')]",,1325129128199139329,We won't go down silently. #savetherepublic #TrumpWon #RepublicFightsBack https://t.co/pUjKYeA9mh,325073476,kid_in_kc,"Independence, MO",840,0,0,1,0
2020-11-07 17:32:22+00:00,1325128975203495940,https://twitter.com/KamalaHarris,1.3249212891574723e+18,,,"[User(username='KamalaHarris', id=30354991, displayname='Kamala Harris', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='JoeBiden', id=939091, displayname='Joe Biden', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1324921289157472256,@KamalaHarris @JoeBiden #fakenews #bidencrimefamily #Trump2020 #trumpwon #savethechildren,56111881,cptncrunch2000,Dominican Republic,105,0,0,0,0
2020-11-07 17:30:15+00:00,1325128445395755008,,,,,,1325128445395755008,"#NeverBiden
#TrumpWon https://t.co/dpRPiF8MyI",304724544,Pristinesara,United States,10109,0,0,1,0
2020-11-07 17:28:39+00:00,1325128043615014913,,,,,,1325128043615014913,"#FakeNews media is trying to shut down this process, defeat Trump supporters and suppress financial contributions to the fight.

Your voice now is more important than ever! 🇺🇸
#TrumpWon",826098849471143937,UrUnpaidPundit,"Texas, USA",15652,1,7,18,2
2020-11-07 17:26:40+00:00,1325127543419260929,https://twitter.com/realDonaldTrump,1.325099845045072e+18,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325099845045071873,@realDonaldTrump No doubt in my mind the president trump won this election #Trumpwon,1270080216141004802,LEGION_YT_,"Boulder City, NV",66,0,0,0,0
2020-11-07 17:25:58+00:00,1325127366784372739,https://twitter.com/piersmorgan,1.3250572515147366e+18,,,"[User(username='piersmorgan', id=216299334, displayname='Piers Morgan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325057251514736640,"@piersmorgan We have #Democrats that is why. If they were not in charge of these cities this would not happen. 

Democrats is Greek for incompetent! 

#Trump #Trump2020NowMoreThanEver 
#TrumpWon",1117593438,SSDavidT,United States,5251,0,0,1,0
2020-11-07 17:23:39+00:00,1325126783411265538,,,,,,1325126783411265538,"#WorldKnowsTrumpWon #MAGA
#WorldKnows #TrumpWon
#MakeAmericaGreatAgain https://t.co/m7wQNuMaTE",66358826,reqldonqld7rump,United States of America  🇺🇸,384,0,0,0,0
2020-11-07 17:19:57+00:00,1325125853903118337,,,,,,1325125853903118337,"Does the media really expect us to believe that a guy that almost dropped out of the race during the primaries, suddenly is more popular than Obama? #StopTheSteal #Trump2020 #Trump2024 #TrumpWon",197374150,jr86mets,G-Vegas,34,1,0,0,0
2020-11-07 17:19:45+00:00,1325125800744509440,,,,,,1325125800744509440,"Trumplicans Unite! 
#TrumpWon https://t.co/snIgG5SUZp",796463359713415168,Ronitale61,"Texas, USA",8,0,0,0,0
2020-11-07 17:16:03+00:00,1325124870854696960,,,,,,1325124870854696960,#BoycottFoxNews #BoyCottMSM #TrumpWon,1229349287106052098,HeatherNestor8,United States,547,0,0,0,0
2020-11-07 17:13:47+00:00,1325124299347423232,,,,,,1325124299347423232,"When it's all said and done were gonna see the Fedral Prison Population sky rise and they won't be filling it with Republicans 😁
#Election2020 
#ElectionFraud
#TrumpWon https://t.co/iDdnQzwPaO",88533053,KimiMunroe,"Louisville, KY",802,0,0,0,0
2020-11-07 17:13:37+00:00,1325124257999855620,,,,,,1325124257999855620,#TrumpWon https://t.co/eNF0DZ00vg,128651191,zoomzoombye,🇺🇸 USA ❤🇺🇸,2103,0,0,0,0
2020-11-07 17:11:36+00:00,1325123750275256320,,,,,,1325123750275256320,#TrumpWon #FakeNews https://t.co/fTUpa9cWAj,1261664480636932098,SouthernMaga,"Southeast, US",446,0,0,0,0
2020-11-07 17:08:47+00:00,1325123040225669125,,,,,,1325123040225669125,#NeverManchurianBiden #TrumpWon,381308128,mefbama,TN,14142,0,0,1,0
2020-11-07 17:07:15+00:00,1325122656564248577,https://twitter.com/KamVTV,1.325110879768236e+18,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/EmPIB4GU0AIu9xl.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/EmPIB4GU0AIu9xl.mp4', bitrate=0)])]","[User(username='KamVTV', id=3995778614, displayname='Kambree', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325110879768236038,"@KamVTV Buckle up, Buttercups! #TrumpWon https://t.co/rjli3ibvg5",1391563946,2717PRODUCTIONS,"Hollywood, California",2591,0,2,4,0
2020-11-07 17:03:24+00:00,1325121689232035840,,,,,,1325121689232035840,#TrumpWon #LegalVotesOnly https://t.co/7ZLo1czUH2,755897108,BBCARKING,"Michigan, USA",1993,0,0,0,0
2020-11-07 17:01:32+00:00,1325121215653179399,,,,,,1325121215653179399,NO ME VENGAN no me vengan con que ganó Biden #TrumpWon,1324350248416911361,HiperDeflacion,Confederación Argentina - Tuc,49,0,0,0,0
2020-11-07 16:53:58+00:00,1325119311736950787,,,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325119311736950787,"LIGHT THE LIGHT for @realDonaldTrump #TRUMPTRIUMPH
#TRUMPWON🇺🇸
Do not lose #HOPE YOU WON!🇺🇸 https://t.co/SEy6OEB8vJ",969522412231458817,OJIOGUOJIOGU2,BIAFRA NATION♀️🇱🇷🇮🇱,1188,0,0,0,0
2020-11-07 16:52:17+00:00,1325118891018706944,,,,,,1325118891018706944,The #RepublicanParty is dead now. #maga #kaga #trumpwon,451177039,manofcertainag3,"Spokane, WA",51,0,0,2,0
2020-11-07 16:50:32+00:00,1325118449283166211,,,,,,1325118449283166211,Crooked Biden #TRUMPWON https://t.co/MnygYbTTjY,1258070980804698115,erikamrioja,"Queens, NY",18,0,0,0,0
2020-11-07 16:50:00+00:00,1325118317229535233,https://twitter.com/realDonaldTrump,1.325099845045072e+18,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325099845045071873,"@realDonaldTrump YOU WON!!They think they can openly cheat and try to claim it! They’re not even good cheaters😂. Vids of burning ballots,fake ballots,middle of the night 100’s of thousands votes mysteriously found only for dementia-head?! Don’t let losers take over. #trumpwon #CheatingDemocrats",369816223,JulesFitOC,CdM/Newport Beach,451,0,0,0,0
2020-11-07 16:48:16+00:00,1325117877549223937,,,,,,1325117877549223937,Medios: Terroristas intimidando a seguidores de Biden = Gente fuertemente armada con rosarios de 50 cuentas como munición. De rodillas. #TrumpWon,6047322,TigerRocker,"Fresnillo, DF, Chihuas!",107,0,0,0,0
